key	en_us	non_is	note
block.minecraft.banner.stripe_left.magenta	Magenta Pale Dexter	Magenta Pale Dexter	review needed
block.minecraft.banner.stripe_left.orange	Orange Pale Dexter	Orange Pale Dexter	review needed
block.minecraft.banner.stripe_left.pink	Pink Pale Dexter	Pink Pale Dexter	review needed
block.minecraft.banner.stripe_left.purple	Purple Pale Dexter	Purple Pale Dexter	review needed
block.minecraft.banner.stripe_left.red	Red Pale Dexter	Red Pale Dexter	review needed
block.minecraft.banner.stripe_left.white	White Pale Dexter	White Pale Dexter	review needed
block.minecraft.banner.stripe_left.yellow	Yellow Pale Dexter	Yellow Pale Dexter	review needed
block.minecraft.banner.stripe_middle.black	Black Fess	Black Fess	review needed
block.minecraft.banner.stripe_middle.blue	Blue Fess	Blue Fess	review needed
block.minecraft.banner.stripe_middle.brown	Brown Fess	Brown Fess	review needed
block.minecraft.banner.stripe_middle.cyan	Cyan Fess	Cyan Fess	review needed
block.minecraft.banner.stripe_middle.gray	Gray Fess	Gray Fess	review needed
block.minecraft.banner.stripe_middle.green	Green Fess	Green Fess	review needed
block.minecraft.banner.stripe_middle.light_blue	Light Blue Fess	Light Blue Fess	review needed
block.minecraft.banner.stripe_middle.light_gray	Light Gray Fess	Light Gray Fess	review needed
block.minecraft.banner.stripe_middle.lime	Lime Fess	Lime Fess	review needed
block.minecraft.banner.stripe_middle.magenta	Magenta Fess	Magenta Fess	review needed
block.minecraft.banner.stripe_middle.orange	Orange Fess	Orange Fess	review needed
block.minecraft.banner.stripe_middle.pink	Pink Fess	Pink Fess	review needed
block.minecraft.banner.stripe_middle.purple	Purple Fess	Purple Fess	review needed
block.minecraft.banner.stripe_middle.red	Red Fess	Red Fess	review needed
block.minecraft.banner.stripe_middle.white	White Fess	White Fess	review needed
block.minecraft.banner.stripe_middle.yellow	Yellow Fess	Yellow Fess	review needed
block.minecraft.banner.stripe_right.black	Black Pale Sinister	Black Pale Sinister	review needed
block.minecraft.banner.stripe_right.blue	Blue Pale Sinister	Blue Pale Sinister	review needed
block.minecraft.banner.stripe_right.brown	Brown Pale Sinister	Brown Pale Sinister	review needed
block.minecraft.banner.stripe_right.cyan	Cyan Pale Sinister	Cyan Pale Sinister	review needed
block.minecraft.banner.stripe_right.gray	Gray Pale Sinister	Gray Pale Sinister	review needed
block.minecraft.banner.stripe_right.green	Green Pale Sinister	Green Pale Sinister	review needed
block.minecraft.banner.stripe_right.light_blue	Light Blue Pale Sinister	Light Blue Pale Sinister	review needed
block.minecraft.banner.stripe_right.light_gray	Light Gray Pale Sinister	Light Gray Pale Sinister	review needed
block.minecraft.banner.stripe_right.lime	Lime Pale Sinister	Lime Pale Sinister	review needed
block.minecraft.banner.stripe_right.magenta	Magenta Pale Sinister	Magenta Pale Sinister	review needed
block.minecraft.banner.stripe_right.orange	Orange Pale Sinister	Orange Pale Sinister	review needed
block.minecraft.banner.stripe_right.pink	Pink Pale Sinister	Pink Pale Sinister	review needed
block.minecraft.banner.stripe_right.purple	Purple Pale Sinister	Purple Pale Sinister	review needed
block.minecraft.banner.stripe_right.red	Red Pale Sinister	Red Pale Sinister	review needed
block.minecraft.banner.stripe_right.white	White Pale Sinister	White Pale Sinister	review needed
block.minecraft.banner.stripe_right.yellow	Yellow Pale Sinister	Yellow Pale Sinister	review needed
block.minecraft.banner.stripe_top.black	Black Chief	Black Chief	review needed
block.minecraft.banner.stripe_top.blue	Blue Chief	Blue Chief	review needed
block.minecraft.banner.stripe_top.brown	Brown Chief	Brown Chief	review needed
block.minecraft.banner.stripe_top.cyan	Cyan Chief	Cyan Chief	review needed
block.minecraft.banner.stripe_top.gray	Gray Chief	Gray Chief	review needed
block.minecraft.banner.stripe_top.green	Green Chief	Green Chief	review needed
block.minecraft.banner.stripe_top.light_blue	Light Blue Chief	Light Blue Chief	review needed
block.minecraft.banner.stripe_top.light_gray	Light Gray Chief	Light Gray Chief	review needed
block.minecraft.banner.stripe_top.lime	Lime Chief	Lime Chief	review needed
block.minecraft.banner.stripe_top.magenta	Magenta Chief	Magenta Chief	review needed
block.minecraft.banner.stripe_top.orange	Orange Chief	Orange Chief	review needed
block.minecraft.banner.stripe_top.pink	Pink Chief	Pink Chief	review needed
block.minecraft.banner.stripe_top.purple	Purple Chief	Purple Chief	review needed
block.minecraft.banner.stripe_top.red	Red Chief	Red Chief	review needed
block.minecraft.banner.stripe_top.white	White Chief	White Chief	review needed
block.minecraft.banner.stripe_top.yellow	Yellow Chief	Yellow Chief	review needed
block.minecraft.banner.triangle_bottom.black	Black Chevron	Black Chevron	review needed
block.minecraft.banner.triangle_bottom.blue	Blue Chevron	Blue Chevron	review needed
block.minecraft.banner.triangle_bottom.brown	Brown Chevron	Brown Chevron	review needed
block.minecraft.banner.triangle_bottom.cyan	Cyan Chevron	Cyan Chevron	review needed
block.minecraft.banner.triangle_bottom.gray	Gray Chevron	Gray Chevron	review needed
block.minecraft.banner.triangle_bottom.green	Green Chevron	Green Chevron	review needed
block.minecraft.banner.triangle_bottom.light_blue	Light Blue Chevron	Light Blue Chevron	review needed
block.minecraft.banner.triangle_bottom.light_gray	Light Gray Chevron	Light Gray Chevron	review needed
block.minecraft.banner.triangle_bottom.lime	Lime Chevron	Lime Chevron	review needed
block.minecraft.banner.triangle_bottom.magenta	Magenta Chevron	Magenta Chevron	review needed
block.minecraft.banner.triangle_bottom.orange	Orange Chevron	Orange Chevron	review needed
block.minecraft.banner.triangle_bottom.pink	Pink Chevron	Pink Chevron	review needed
block.minecraft.banner.triangle_bottom.purple	Purple Chevron	Purple Chevron	review needed
block.minecraft.banner.triangle_bottom.red	Red Chevron	Red Chevron	review needed
block.minecraft.banner.triangle_bottom.white	White Chevron	White Chevron	review needed
block.minecraft.banner.triangle_bottom.yellow	Yellow Chevron	Yellow Chevron	review needed
block.minecraft.banner.triangle_top.black	Black Inverted Chevron	Black Inverted Chevron	review needed
block.minecraft.banner.triangle_top.blue	Blue Inverted Chevron	Blue Inverted Chevron	review needed
block.minecraft.banner.triangle_top.brown	Brown Inverted Chevron	Brown Inverted Chevron	review needed
block.minecraft.banner.triangle_top.cyan	Cyan Inverted Chevron	Cyan Inverted Chevron	review needed
block.minecraft.banner.triangle_top.gray	Gray Inverted Chevron	Gray Inverted Chevron	review needed
block.minecraft.banner.triangle_top.green	Green Inverted Chevron	Green Inverted Chevron	review needed
block.minecraft.banner.triangle_top.light_blue	Light Blue Inverted Chevron	Light Blue Inverted Chevron	review needed
block.minecraft.banner.triangle_top.light_gray	Light Gray Inverted Chevron	Light Gray Inverted Chevron	review needed
block.minecraft.banner.triangle_top.lime	Lime Inverted Chevron	Lime Inverted Chevron	review needed
block.minecraft.banner.triangle_top.magenta	Magenta Inverted Chevron	Magenta Inverted Chevron	review needed
block.minecraft.banner.triangle_top.orange	Orange Inverted Chevron	Orange Inverted Chevron	review needed
block.minecraft.banner.triangle_top.pink	Pink Inverted Chevron	Pink Inverted Chevron	review needed
block.minecraft.banner.triangle_top.purple	Purple Inverted Chevron	Purple Inverted Chevron	review needed
block.minecraft.banner.triangle_top.red	Red Inverted Chevron	Red Inverted Chevron	review needed
block.minecraft.banner.triangle_top.white	White Inverted Chevron	White Inverted Chevron	review needed
block.minecraft.banner.triangle_top.yellow	Yellow Inverted Chevron	Yellow Inverted Chevron	review needed
block.minecraft.banner.triangles_bottom.black	Black Base Indented	Black Base Indented	review needed
block.minecraft.banner.triangles_bottom.blue	Blue Base Indented	Blue Base Indented	review needed
block.minecraft.banner.triangles_bottom.brown	Brown Base Indented	Brown Base Indented	review needed
block.minecraft.banner.triangles_bottom.cyan	Cyan Base Indented	Cyan Base Indented	review needed
block.minecraft.banner.triangles_bottom.gray	Gray Base Indented	Gray Base Indented	review needed
block.minecraft.banner.triangles_bottom.green	Green Base Indented	Green Base Indented	review needed
block.minecraft.banner.triangles_bottom.light_blue	Light Blue Base Indented	Light Blue Base Indented	review needed
block.minecraft.banner.triangles_bottom.light_gray	Light Gray Base Indented	Light Gray Base Indented	review needed
block.minecraft.banner.triangles_bottom.lime	Lime Base Indented	Lime Base Indented	review needed
block.minecraft.banner.triangles_bottom.magenta	Magenta Base Indented	Magenta Base Indented	review needed
block.minecraft.banner.triangles_bottom.orange	Orange Base Indented	Orange Base Indented	review needed
block.minecraft.banner.triangles_bottom.pink	Pink Base Indented	Pink Base Indented	review needed
block.minecraft.banner.triangles_bottom.purple	Purple Base Indented	Purple Base Indented	review needed
block.minecraft.banner.triangles_bottom.red	Red Base Indented	Red Base Indented	review needed
block.minecraft.banner.triangles_bottom.white	White Base Indented	White Base Indented	review needed
block.minecraft.banner.triangles_bottom.yellow	Yellow Base Indented	Yellow Base Indented	review needed
block.minecraft.banner.triangles_top.black	Black Chief Indented	Black Chief Indented	review needed
block.minecraft.banner.triangles_top.blue	Blue Chief Indented	Blue Chief Indented	review needed
block.minecraft.banner.triangles_top.brown	Brown Chief Indented	Brown Chief Indented	review needed
block.minecraft.banner.triangles_top.cyan	Cyan Chief Indented	Cyan Chief Indented	review needed
block.minecraft.banner.triangles_top.gray	Gray Chief Indented	Gray Chief Indented	review needed
block.minecraft.banner.triangles_top.green	Green Chief Indented	Green Chief Indented	review needed
block.minecraft.banner.triangles_top.light_blue	Light Blue Chief Indented	Light Blue Chief Indented	review needed
block.minecraft.banner.triangles_top.light_gray	Light Gray Chief Indented	Light Gray Chief Indented	review needed
block.minecraft.banner.triangles_top.lime	Lime Chief Indented	Lime Chief Indented	review needed
block.minecraft.banner.triangles_top.magenta	Magenta Chief Indented	Magenta Chief Indented	review needed
block.minecraft.banner.triangles_top.orange	Orange Chief Indented	Orange Chief Indented	review needed
block.minecraft.banner.triangles_top.pink	Pink Chief Indented	Pink Chief Indented	review needed
block.minecraft.banner.triangles_top.purple	Purple Chief Indented	Purple Chief Indented	review needed
block.minecraft.banner.triangles_top.red	Red Chief Indented	Red Chief Indented	review needed
block.minecraft.banner.triangles_top.white	White Chief Indented	White Chief Indented	review needed
block.minecraft.banner.triangles_top.yellow	Yellow Chief Indented	Yellow Chief Indented	review needed
block.minecraft.barrel	Barrel	Barrel	review needed
block.minecraft.barrier	Barrier	Barrier	review needed
block.minecraft.basalt	Basalt	Basalt	review needed
block.minecraft.beacon	Beacon	Beacon	review needed
block.minecraft.beacon.primary	Primary Power	Primary Power	review needed
block.minecraft.beacon.secondary	Secondary Power	Secondary Power	review needed
block.minecraft.bed.no_sleep	You can sleep only at night or during thunderstorms	You can sleep only at night or during thunderstorms	review needed
block.minecraft.bed.not_safe	You may not rest now; there are monsters nearby	You may not rest now; there are monsters nearby	review needed
block.minecraft.bed.obstructed	This bed is obstructed	This bed is obstructed	review needed
block.minecraft.bed.occupied	This bed is occupied	This bed is occupied	review needed
block.minecraft.bed.too_far_away	You may not rest now; the bed is too far away	You may not rest now; the bed is too far away	review needed
block.minecraft.bedrock	Bedrock	Bedrock	review needed
block.minecraft.bee_nest	Bee Nest	Bee Nest	review needed
block.minecraft.beehive	Beehive	Beehive	review needed
block.minecraft.beetroots	Beetroots	Beetroots	review needed
block.minecraft.bell	Bell	Bell	review needed
block.minecraft.big_dripleaf	Big Dripleaf	Big Dripleaf	review needed
block.minecraft.big_dripleaf_stem	Big Dripleaf Stem	Big Dripleaf Stem	review needed
block.minecraft.birch_button	Birch Button	Birch Button	review needed
block.minecraft.birch_door	Birch Door	Birch Door	review needed
block.minecraft.birch_fence	Birch Fence	Birch Fence	review needed
block.minecraft.birch_fence_gate	Birch Fence Gate	Birch Fence Gate	review needed
block.minecraft.birch_hanging_sign	Birch Hanging Sign	Birch Hanging Sign	review needed
block.minecraft.birch_leaves	Birch Leaves	Birch Leaves	review needed
block.minecraft.birch_log	Birch Log	Birch Log	review needed
block.minecraft.birch_planks	Birch Planks	Birch Planks	review needed
block.minecraft.birch_pressure_plate	Birch Pressure Plate	Birch Pressure Plate	review needed
block.minecraft.birch_sapling	Birch Sapling	Birch Sapling	review needed
block.minecraft.birch_shelf	block.minecraft.birch_shelf	block.minecraft.birch_shelf	review needed
block.minecraft.birch_sign	Birch Sign	Birch Sign	review needed
block.minecraft.birch_slab	Birch Slab	Birch Slab	review needed
block.minecraft.birch_stairs	Birch Stairs	Birch Stairs	review needed
block.minecraft.birch_trapdoor	Birch Trapdoor	Birch Trapdoor	review needed
block.minecraft.birch_wall_hanging_sign	Birch Wall Hanging Sign	Birch Wall Hanging Sign	review needed
block.minecraft.birch_wall_sign	Birch Wall Sign	Birch Wall Sign	review needed
block.minecraft.birch_wood	Birch Wood	Birch Wood	review needed
block.minecraft.black_banner	Black Banner	Black Banner	review needed
block.minecraft.black_bed	Black Bed	Black Bed	review needed
block.minecraft.black_candle	Black Candle	Black Candle	review needed
block.minecraft.black_candle_cake	Cake with Black Candle	Cake with Black Candle	review needed
block.minecraft.black_carpet	Black Carpet	Black Carpet	review needed
block.minecraft.black_concrete	Black Concrete	Black Concrete	review needed
block.minecraft.black_concrete_powder	Black Concrete Powder	Black Concrete Powder	review needed
block.minecraft.black_glazed_terracotta	Black Glazed Terracotta	Black Glazed Terracotta	review needed
block.minecraft.black_shulker_box	Black Shulker Box	Black Shulker Box	review needed
block.minecraft.black_stained_glass	Black Stained Glass	Black Stained Glass	review needed
block.minecraft.black_stained_glass_pane	Black Stained Glass Pane	Black Stained Glass Pane	review needed
block.minecraft.black_terracotta	Black Terracotta	Black Terracotta	review needed
block.minecraft.black_wool	Black Wool	Black Wool	review needed
block.minecraft.blackstone	Blackstone	Blackstone	review needed
block.minecraft.blackstone_slab	Blackstone Slab	Blackstone Slab	review needed
block.minecraft.blackstone_stairs	Blackstone Stairs	Blackstone Stairs	review needed
block.minecraft.blackstone_wall	Blackstone Wall	Blackstone Wall	review needed
block.minecraft.blast_furnace	Blast Furnace	Blast Furnace	review needed
block.minecraft.blue_banner	Blue Banner	Blue Banner	review needed
block.minecraft.blue_bed	Blue Bed	Blue Bed	review needed
block.minecraft.blue_candle	Blue Candle	Blue Candle	review needed
block.minecraft.blue_candle_cake	Cake with Blue Candle	Cake with Blue Candle	review needed
block.minecraft.blue_carpet	Blue Carpet	Blue Carpet	review needed
block.minecraft.blue_concrete	Blue Concrete	Blue Concrete	review needed
block.minecraft.blue_concrete_powder	Blue Concrete Powder	Blue Concrete Powder	review needed
block.minecraft.blue_glazed_terracotta	Blue Glazed Terracotta	Blue Glazed Terracotta	review needed
block.minecraft.blue_ice	Blue Ice	Blue Ice	review needed
block.minecraft.blue_orchid	Blue Orchid	Blue Orchid	review needed
block.minecraft.blue_shulker_box	Blue Shulker Box	Blue Shulker Box	review needed
block.minecraft.blue_stained_glass	Blue Stained Glass	Blue Stained Glass	review needed
block.minecraft.blue_stained_glass_pane	Blue Stained Glass Pane	Blue Stained Glass Pane	review needed
block.minecraft.blue_terracotta	Blue Terracotta	Blue Terracotta	review needed
block.minecraft.blue_wool	Blue Wool	Blue Wool	review needed
block.minecraft.bone_block	Bone Block	Bone Block	review needed
block.minecraft.bookshelf	Bookshelf	Bookshelf	review needed
block.minecraft.brain_coral	Brain Coral	Brain Coral	review needed
block.minecraft.brain_coral_block	Brain Coral Block	Brain Coral Block	review needed
block.minecraft.brain_coral_fan	Brain Coral Fan	Brain Coral Fan	review needed
block.minecraft.brain_coral_wall_fan	Brain Coral Wall Fan	Brain Coral Wall Fan	review needed
block.minecraft.brewing_stand	Brewing Stand	Brewing Stand	review needed
block.minecraft.brick_slab	Brick Slab	Brick Slab	review needed
block.minecraft.brick_stairs	Brick Stairs	Brick Stairs	review needed
block.minecraft.brick_wall	Brick Wall	Brick Wall	review needed
block.minecraft.bricks	Bricks	Bricks	review needed
block.minecraft.brown_banner	Brown Banner	Brown Banner	review needed
block.minecraft.brown_bed	Brown Bed	Brown Bed	review needed
block.minecraft.brown_candle	Brown Candle	Brown Candle	review needed
block.minecraft.brown_candle_cake	Cake with Brown Candle	Cake with Brown Candle	review needed
block.minecraft.brown_carpet	Brown Carpet	Brown Carpet	review needed
block.minecraft.brown_concrete	Brown Concrete	Brown Concrete	review needed
block.minecraft.brown_concrete_powder	Brown Concrete Powder	Brown Concrete Powder	review needed
block.minecraft.brown_glazed_terracotta	Brown Glazed Terracotta	Brown Glazed Terracotta	review needed
block.minecraft.brown_mushroom	Brown Mushroom	Brown Mushroom	review needed
block.minecraft.brown_mushroom_block	Brown Mushroom Block	Brown Mushroom Block	review needed
block.minecraft.brown_shulker_box	Brown Shulker Box	Brown Shulker Box	review needed
block.minecraft.brown_stained_glass	Brown Stained Glass	Brown Stained Glass	review needed
block.minecraft.brown_stained_glass_pane	Brown Stained Glass Pane	Brown Stained Glass Pane	review needed
block.minecraft.brown_terracotta	Brown Terracotta	Brown Terracotta	review needed
block.minecraft.brown_wool	Brown Wool	Brown Wool	review needed
block.minecraft.bubble_column	Bubble Column	Bubble Column	review needed
block.minecraft.bubble_coral	Bubble Coral	Bubble Coral	review needed
block.minecraft.bubble_coral_block	Bubble Coral Block	Bubble Coral Block	review needed
block.minecraft.bubble_coral_fan	Bubble Coral Fan	Bubble Coral Fan	review needed
block.minecraft.bubble_coral_wall_fan	Bubble Coral Wall Fan	Bubble Coral Wall Fan	review needed
block.minecraft.budding_amethyst	Budding Amethyst	Budding Amethyst	review needed
block.minecraft.bush	block.minecraft.bush	block.minecraft.bush	review needed
block.minecraft.cactus	Cactus	Cactus	review needed
block.minecraft.cactus_flower	block.minecraft.cactus_flower	block.minecraft.cactus_flower	review needed
block.minecraft.cake	Cake	Cake	review needed
block.minecraft.calcite	Calcite	Calcite	review needed
block.minecraft.calibrated_sculk_sensor	Calibrated Sculk Sensor	Calibrated Sculk Sensor	review needed
block.minecraft.campfire	Campfire	Campfire	review needed
block.minecraft.candle	Candle	Candle	review needed
block.minecraft.candle_cake	Cake with Candle	Cake with Candle	review needed
block.minecraft.carrots	Carrots	Carrots	review needed
block.minecraft.cartography_table	Cartography Table	Cartography Table	review needed
block.minecraft.carved_pumpkin	Carved Pumpkin	Carved Pumpkin	review needed
block.minecraft.cauldron	Cauldron	Cauldron	review needed
block.minecraft.cave_air	Cave Air	Cave Air	review needed
block.minecraft.cave_vines	Cave Vines	Cave Vines	review needed
block.minecraft.cave_vines_plant	Cave Vines Plant	Cave Vines Plant	review needed
block.minecraft.chain	Chain	Chain	review needed
block.minecraft.chain_command_block	Chain Command Block	Chain Command Block	review needed
block.minecraft.cherry_button	Cherry Button	Cherry Button	review needed
block.minecraft.cherry_door	Cherry Door	Cherry Door	review needed
block.minecraft.cherry_fence	Cherry Fence	Cherry Fence	review needed
block.minecraft.cherry_fence_gate	Cherry Fence Gate	Cherry Fence Gate	review needed
block.minecraft.cherry_hanging_sign	Cherry Hanging Sign	Cherry Hanging Sign	review needed
block.minecraft.cherry_leaves	Cherry Leaves	Cherry Leaves	review needed
block.minecraft.cherry_log	Cherry Log	Cherry Log	review needed
block.minecraft.cherry_planks	Cherry Planks	Cherry Planks	review needed
block.minecraft.cherry_pressure_plate	Cherry Pressure Plate	Cherry Pressure Plate	review needed
block.minecraft.cherry_sapling	Cherry Sapling	Cherry Sapling	review needed
block.minecraft.cherry_shelf	block.minecraft.cherry_shelf	block.minecraft.cherry_shelf	review needed
block.minecraft.cherry_sign	Cherry Sign	Cherry Sign	review needed
block.minecraft.cherry_slab	Cherry Slab	Cherry Slab	review needed
block.minecraft.cherry_stairs	Cherry Stairs	Cherry Stairs	review needed
block.minecraft.cherry_trapdoor	Cherry Trapdoor	Cherry Trapdoor	review needed
block.minecraft.cherry_wall_hanging_sign	Cherry Wall Hanging Sign	Cherry Wall Hanging Sign	review needed
block.minecraft.cherry_wall_sign	Cherry Wall Sign	Cherry Wall Sign	review needed
block.minecraft.cherry_wood	Cherry Wood	Cherry Wood	review needed
block.minecraft.chest	Chest	Chest	review needed
block.minecraft.chipped_anvil	Chipped Anvil	Chipped Anvil	review needed
block.minecraft.chiseled_bookshelf	Chiseled Bookshelf	Chiseled Bookshelf	review needed
block.minecraft.chiseled_cinnabar	block.minecraft.chiseled_cinnabar	block.minecraft.chiseled_cinnabar	review needed
block.minecraft.chiseled_copper	block.minecraft.chiseled_copper	block.minecraft.chiseled_copper	review needed
block.minecraft.chiseled_deepslate	Chiseled Deepslate	Chiseled Deepslate	review needed
block.minecraft.chiseled_nether_bricks	Chiseled Nether Bricks	Chiseled Nether Bricks	review needed
block.minecraft.chiseled_polished_blackstone	Chiseled Polished Blackstone	Chiseled Polished Blackstone	review needed
block.minecraft.chiseled_quartz_block	Chiseled Quartz Block	Chiseled Quartz Block	review needed
block.minecraft.chiseled_red_sandstone	Chiseled Red Sandstone	Chiseled Red Sandstone	review needed
block.minecraft.chiseled_resin_bricks	block.minecraft.chiseled_resin_bricks	block.minecraft.chiseled_resin_bricks	review needed
block.minecraft.chiseled_sandstone	Chiseled Sandstone	Chiseled Sandstone	review needed
block.minecraft.chiseled_stone_bricks	Chiseled Stone Bricks	Chiseled Stone Bricks	review needed
block.minecraft.chiseled_sulfur	block.minecraft.chiseled_sulfur	block.minecraft.chiseled_sulfur	review needed
block.minecraft.chiseled_tuff	block.minecraft.chiseled_tuff	block.minecraft.chiseled_tuff	review needed
block.minecraft.chiseled_tuff_bricks	block.minecraft.chiseled_tuff_bricks	block.minecraft.chiseled_tuff_bricks	review needed
block.minecraft.chorus_flower	Chorus Flower	Chorus Flower	review needed
block.minecraft.chorus_plant	Chorus Plant	Chorus Plant	review needed
block.minecraft.cinnabar	block.minecraft.cinnabar	block.minecraft.cinnabar	review needed
block.minecraft.cinnabar_brick_slab	block.minecraft.cinnabar_brick_slab	block.minecraft.cinnabar_brick_slab	review needed
block.minecraft.cinnabar_brick_stairs	block.minecraft.cinnabar_brick_stairs	block.minecraft.cinnabar_brick_stairs	review needed
block.minecraft.cinnabar_brick_wall	block.minecraft.cinnabar_brick_wall	block.minecraft.cinnabar_brick_wall	review needed
block.minecraft.cinnabar_bricks	block.minecraft.cinnabar_bricks	block.minecraft.cinnabar_bricks	review needed
block.minecraft.cinnabar_slab	block.minecraft.cinnabar_slab	block.minecraft.cinnabar_slab	review needed
block.minecraft.cinnabar_stairs	block.minecraft.cinnabar_stairs	block.minecraft.cinnabar_stairs	review needed
block.minecraft.cinnabar_wall	block.minecraft.cinnabar_wall	block.minecraft.cinnabar_wall	review needed
block.minecraft.clay	Clay	Clay	review needed
block.minecraft.closed_eyeblossom	block.minecraft.closed_eyeblossom	block.minecraft.closed_eyeblossom	review needed
block.minecraft.coal_block	Block of Coal	Block of Coal	review needed
block.minecraft.coal_ore	Coal Ore	Coal Ore	review needed
block.minecraft.coarse_dirt	Coarse Dirt	Coarse Dirt	review needed
block.minecraft.cobbled_deepslate	Cobbled Deepslate	Cobbled Deepslate	review needed
block.minecraft.cobbled_deepslate_slab	Cobbled Deepslate Slab	Cobbled Deepslate Slab	review needed
block.minecraft.cobbled_deepslate_stairs	Cobbled Deepslate Stairs	Cobbled Deepslate Stairs	review needed
block.minecraft.cobbled_deepslate_wall	Cobbled Deepslate Wall	Cobbled Deepslate Wall	review needed
block.minecraft.cobblestone	Cobblestone	Cobblestone	review needed
block.minecraft.cobblestone_slab	Cobblestone Slab	Cobblestone Slab	review needed
block.minecraft.cobblestone_stairs	Cobblestone Stairs	Cobblestone Stairs	review needed
block.minecraft.cobblestone_wall	Cobblestone Wall	Cobblestone Wall	review needed
block.minecraft.cobweb	Cobweb	Cobweb	review needed
block.minecraft.cocoa	Cocoa	Cocoa	review needed
block.minecraft.command_block	Command Block	Command Block	review needed
block.minecraft.comparator	Redstone Comparator	Redstone Comparator	review needed
block.minecraft.composter	Composter	Composter	review needed
block.minecraft.conduit	Conduit	Conduit	review needed
block.minecraft.copper_bars	block.minecraft.copper_bars	block.minecraft.copper_bars	review needed
block.minecraft.copper_block	Block of Copper	Block of Copper	review needed
block.minecraft.copper_bulb	block.minecraft.copper_bulb	block.minecraft.copper_bulb	review needed
block.minecraft.copper_chain	block.minecraft.copper_chain	block.minecraft.copper_chain	review needed
block.minecraft.copper_chest	block.minecraft.copper_chest	block.minecraft.copper_chest	review needed
block.minecraft.copper_door	block.minecraft.copper_door	block.minecraft.copper_door	review needed
block.minecraft.copper_golem_statue	block.minecraft.copper_golem_statue	block.minecraft.copper_golem_statue	review needed
block.minecraft.copper_grate	block.minecraft.copper_grate	block.minecraft.copper_grate	review needed
block.minecraft.copper_lantern	block.minecraft.copper_lantern	block.minecraft.copper_lantern	review needed
block.minecraft.copper_ore	Copper Ore	Copper Ore	review needed
block.minecraft.copper_torch	block.minecraft.copper_torch	block.minecraft.copper_torch	review needed
block.minecraft.copper_trapdoor	block.minecraft.copper_trapdoor	block.minecraft.copper_trapdoor	review needed
block.minecraft.copper_wall_torch	block.minecraft.copper_wall_torch	block.minecraft.copper_wall_torch	review needed
block.minecraft.cornflower	Cornflower	Cornflower	review needed
block.minecraft.cracked_deepslate_bricks	Cracked Deepslate Bricks	Cracked Deepslate Bricks	review needed
block.minecraft.cracked_deepslate_tiles	Cracked Deepslate Tiles	Cracked Deepslate Tiles	review needed
block.minecraft.cracked_nether_bricks	Cracked Nether Bricks	Cracked Nether Bricks	review needed
block.minecraft.cracked_polished_blackstone_bricks	Cracked Polished Blackstone Bricks	Cracked Polished Blackstone Bricks	review needed
block.minecraft.cracked_stone_bricks	Cracked Stone Bricks	Cracked Stone Bricks	review needed
block.minecraft.crafter	block.minecraft.crafter	block.minecraft.crafter	review needed
block.minecraft.crafting_table	Crafting Table	Crafting Table	review needed
block.minecraft.creaking_heart	block.minecraft.creaking_heart	block.minecraft.creaking_heart	review needed
block.minecraft.creeper_head	Creeper Head	Creeper Head	review needed
block.minecraft.creeper_wall_head	Creeper Wall Head	Creeper Wall Head	review needed
block.minecraft.crimson_button	Crimson Button	Crimson Button	review needed
block.minecraft.crimson_door	Crimson Door	Crimson Door	review needed
block.minecraft.crimson_fence	Crimson Fence	Crimson Fence	review needed
block.minecraft.crimson_fence_gate	Crimson Fence Gate	Crimson Fence Gate	review needed
block.minecraft.crimson_fungus	Crimson Fungus	Crimson Fungus	review needed
block.minecraft.crimson_hanging_sign	Crimson Hanging Sign	Crimson Hanging Sign	review needed
block.minecraft.crimson_hyphae	Crimson Hyphae	Crimson Hyphae	review needed
block.minecraft.crimson_nylium	Crimson Nylium	Crimson Nylium	review needed
block.minecraft.crimson_planks	Crimson Planks	Crimson Planks	review needed
block.minecraft.crimson_pressure_plate	Crimson Pressure Plate	Crimson Pressure Plate	review needed
block.minecraft.crimson_roots	Crimson Roots	Crimson Roots	review needed
block.minecraft.crimson_shelf	block.minecraft.crimson_shelf	block.minecraft.crimson_shelf	review needed
block.minecraft.crimson_sign	Crimson Sign	Crimson Sign	review needed
block.minecraft.crimson_slab	Crimson Slab	Crimson Slab	review needed
block.minecraft.crimson_stairs	Crimson Stairs	Crimson Stairs	review needed
block.minecraft.crimson_stem	Crimson Stem	Crimson Stem	review needed
block.minecraft.crimson_trapdoor	Crimson Trapdoor	Crimson Trapdoor	review needed
block.minecraft.crimson_wall_hanging_sign	Crimson Wall Hanging Sign	Crimson Wall Hanging Sign	review needed
block.minecraft.crimson_wall_sign	Crimson Wall Sign	Crimson Wall Sign	review needed
block.minecraft.crying_obsidian	Crying Obsidian	Crying Obsidian	review needed
block.minecraft.cut_copper	Cut Copper	Cut Copper	review needed
block.minecraft.cut_copper_slab	Cut Copper Slab	Cut Copper Slab	review needed
block.minecraft.cut_copper_stairs	Cut Copper Stairs	Cut Copper Stairs	review needed
block.minecraft.cut_red_sandstone	Cut Red Sandstone	Cut Red Sandstone	review needed
block.minecraft.cut_red_sandstone_slab	Cut Red Sandstone Slab	Cut Red Sandstone Slab	review needed
block.minecraft.cut_sandstone	Cut Sandstone	Cut Sandstone	review needed
