lang	status	key	issues	english_value	current_value
ja	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
en	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
de	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
it	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
sv	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
es	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
fi	NG	game.- '&7Aarrearkut	NG_PLACEHOLDER_MISMATCH en=[] lang=['{treasureChests}']		&f{treasureChests}'
fr	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
hi	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
is	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
ko	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
la	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
lzh	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
nl	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
ojp	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
pt	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
ru	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
sa	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Aarrearkut	NG_MISSING_KEY		
ja	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
en	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
de	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
it	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
sv	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
es	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
fi	NG	game.- '&7Aikaraja	NG_PLACEHOLDER_MISMATCH en=[] lang=['{timeLimit}']		&f{timeLimit}s'
fr	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
hi	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
is	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
ko	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
la	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
lzh	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
nl	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
ojp	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
pt	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
ru	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
sa	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Aikaraja	NG_MISSING_KEY		
ja	NG	game.- '&7Altre casse	NG_MISSING_KEY		
en	NG	game.- '&7Altre casse	NG_MISSING_KEY		
de	NG	game.- '&7Altre casse	NG_MISSING_KEY		
it	NG	game.- '&7Altre casse	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
sv	NG	game.- '&7Altre casse	NG_MISSING_KEY		
es	NG	game.- '&7Altre casse	NG_MISSING_KEY		
fi	NG	game.- '&7Altre casse	NG_MISSING_KEY		
fr	NG	game.- '&7Altre casse	NG_MISSING_KEY		
hi	NG	game.- '&7Altre casse	NG_MISSING_KEY		
is	NG	game.- '&7Altre casse	NG_MISSING_KEY		
ko	NG	game.- '&7Altre casse	NG_MISSING_KEY		
la	NG	game.- '&7Altre casse	NG_MISSING_KEY		
lzh	NG	game.- '&7Altre casse	NG_MISSING_KEY		
nl	NG	game.- '&7Altre casse	NG_MISSING_KEY		
ojp	NG	game.- '&7Altre casse	NG_MISSING_KEY		
pt	NG	game.- '&7Altre casse	NG_MISSING_KEY		
ru	NG	game.- '&7Altre casse	NG_MISSING_KEY		
sa	NG	game.- '&7Altre casse	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Altre casse	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Altre casse	NG_MISSING_KEY		
ja	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
en	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
de	NG	game.- '&7Andere Truhen	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
it	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
sv	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
es	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
fi	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
fr	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
hi	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
is	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
ko	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
la	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
lzh	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
nl	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
ojp	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
pt	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
ru	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
sa	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Andere Truhen	NG_MISSING_KEY		
ja	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
en	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
de	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
it	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
sv	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
es	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
fi	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
fr	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
hi	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
is	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
ko	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
la	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
lzh	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
nl	NG	game.- '&7Andere kisten	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
ojp	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
pt	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
ru	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
sa	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Andere kisten	NG_MISSING_KEY		
ja	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
en	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
de	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
it	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
sv	NG	game.- '&7Andra kistor	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
es	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
fi	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
fr	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
hi	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
is	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
ko	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
la	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
lzh	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
nl	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
ojp	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
pt	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
ru	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
sa	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Andra kistor	NG_MISSING_KEY		
ja	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
en	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
de	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
it	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
sv	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
es	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
fi	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
fr	NG	game.- '&7Autres coffres	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
hi	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
is	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
ko	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
la	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
lzh	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
nl	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
ojp	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
pt	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
ru	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
sa	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Autres coffres	NG_MISSING_KEY		
ja	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
en	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
de	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
it	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
sv	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
es	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
fi	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
fr	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
hi	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
is	NG	game.- '&7Aðrar kistur	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
ko	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
la	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
lzh	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
nl	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
ojp	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
pt	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
ru	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
sa	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Aðrar kistur	NG_MISSING_KEY		
ja	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
en	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
de	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
it	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
sv	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
es	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
fi	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
fr	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
hi	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
is	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
ko	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
la	NG	game.- '&7Capsae aliae	NG_PLACEHOLDER_MISMATCH en=[] lang=['{otherChests}']		&f{otherChests}'
lzh	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
nl	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
ojp	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
pt	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
ru	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
sa	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Capsae aliae	NG_MISSING_KEY		
ja	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
en	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
de	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
it	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
sv	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
es	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
fi	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
fr	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
hi	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
is	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
ko	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
la	NG	game.- '&7Capsae omnes	NG_PLACEHOLDER_MISMATCH en=[] lang=['{totalChests}']		&f{totalChests}'
lzh	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
nl	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
ojp	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
pt	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
ru	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
sa	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Capsae omnes	NG_MISSING_KEY		
ja	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
en	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
de	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
it	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
sv	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
es	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
fi	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
fr	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
hi	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
is	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
ko	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
la	NG	game.- '&7Capsae thesauri	NG_PLACEHOLDER_MISMATCH en=[] lang=['{treasureChests}']		&f{treasureChests}'
lzh	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
nl	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
ojp	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
pt	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
ru	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
sa	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Capsae thesauri	NG_MISSING_KEY		
ja	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
en	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
de	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
it	NG	game.- '&7Casse tesoro	NG_PLACEHOLDER_MISMATCH en=[] lang=['{treasureChests}']		&f{treasureChests}'
sv	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
es	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
fi	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
fr	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
hi	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
is	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
ko	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
la	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
lzh	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
nl	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
ojp	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
pt	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
ru	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
sa	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Casse tesoro	NG_MISSING_KEY		
ja	NG	game.- '&7Casse totali	NG_MISSING_KEY		
en	NG	game.- '&7Casse totali	NG_MISSING_KEY		
de	NG	game.- '&7Casse totali	NG_MISSING_KEY		
it	NG	game.- '&7Casse totali	NG_PLACEHOLDER_MISMATCH en=[] lang=['{totalChests}']		&f{totalChests}'
sv	NG	game.- '&7Casse totali	NG_MISSING_KEY		
es	NG	game.- '&7Casse totali	NG_MISSING_KEY		
fi	NG	game.- '&7Casse totali	NG_MISSING_KEY		
fr	NG	game.- '&7Casse totali	NG_MISSING_KEY		
hi	NG	game.- '&7Casse totali	NG_MISSING_KEY		
is	NG	game.- '&7Casse totali	NG_MISSING_KEY		
ko	NG	game.- '&7Casse totali	NG_MISSING_KEY		
la	NG	game.- '&7Casse totali	NG_MISSING_KEY		
lzh	NG	game.- '&7Casse totali	NG_MISSING_KEY		
nl	NG	game.- '&7Casse totali	NG_MISSING_KEY		
ojp	NG	game.- '&7Casse totali	NG_MISSING_KEY		
pt	NG	game.- '&7Casse totali	NG_MISSING_KEY		
ru	NG	game.- '&7Casse totali	NG_MISSING_KEY		
sa	NG	game.- '&7Casse totali	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Casse totali	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Casse totali	NG_MISSING_KEY		
ja	NG	game.- '&7Coffres total	NG_MISSING_KEY		
en	NG	game.- '&7Coffres total	NG_MISSING_KEY		
de	NG	game.- '&7Coffres total	NG_MISSING_KEY		
it	NG	game.- '&7Coffres total	NG_MISSING_KEY		
sv	NG	game.- '&7Coffres total	NG_MISSING_KEY		
es	NG	game.- '&7Coffres total	NG_MISSING_KEY		
fi	NG	game.- '&7Coffres total	NG_MISSING_KEY		
fr	NG	game.- '&7Coffres total	NG_PLACEHOLDER_MISMATCH en=[] lang=['{totalChests}']		&f{totalChests}'
hi	NG	game.- '&7Coffres total	NG_MISSING_KEY		
is	NG	game.- '&7Coffres total	NG_MISSING_KEY		
ko	NG	game.- '&7Coffres total	NG_MISSING_KEY		
la	NG	game.- '&7Coffres total	NG_MISSING_KEY		
lzh	NG	game.- '&7Coffres total	NG_MISSING_KEY		
nl	NG	game.- '&7Coffres total	NG_MISSING_KEY		
ojp	NG	game.- '&7Coffres total	NG_MISSING_KEY		
pt	NG	game.- '&7Coffres total	NG_MISSING_KEY		
ru	NG	game.- '&7Coffres total	NG_MISSING_KEY		
sa	NG	game.- '&7Coffres total	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Coffres total	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Coffres total	NG_MISSING_KEY		
ja	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
en	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
de	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
it	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
sv	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
es	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
fi	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
fr	NG	game.- '&7Coffres trésor	NG_PLACEHOLDER_MISMATCH en=[] lang=['{treasureChests}']		&f{treasureChests}'
hi	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
is	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
ko	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
la	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
lzh	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
nl	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
ojp	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
pt	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
ru	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
sa	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Coffres trésor	NG_MISSING_KEY		
ja	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
en	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
de	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
it	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
sv	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
es	NG	game.- '&7Cofres tesoro	NG_PLACEHOLDER_MISMATCH en=[] lang=['{treasureChests}']		&f{treasureChests}'
fi	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
fr	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
hi	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
is	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
ko	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
la	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
lzh	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
nl	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
ojp	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
pt	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
ru	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
sa	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Cofres tesoro	NG_MISSING_KEY		
ja	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
en	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
de	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
it	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
sv	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
es	NG	game.- '&7Cofres totales	NG_PLACEHOLDER_MISMATCH en=[] lang=['{totalChests}']		&f{totalChests}'
fi	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
fr	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
hi	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
is	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
ko	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
la	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
lzh	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
nl	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
ojp	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
pt	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
ru	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
sa	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Cofres totales	NG_MISSING_KEY		
ja	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
en	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
de	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
it	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
sv	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
es	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
fi	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
fr	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
hi	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
is	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
ko	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
la	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
lzh	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
nl	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
ojp	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
pt	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
ru	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
sa	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
zh_tw	NG	game.- '&7DIFFICULTY	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7DIFFICULTY	NG_PLACEHOLDER_MISMATCH en=[] lang=['{difficulty}']		&f{difficulty}'
ja	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
en	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
de	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
it	NG	game.- '&7Difficoltà	NG_PLACEHOLDER_MISMATCH en=[] lang=['{difficulty}']		&f{difficulty}'
sv	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
es	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
fi	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
fr	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
hi	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
is	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
ko	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
la	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
lzh	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
nl	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
ojp	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
pt	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
ru	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
sa	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Difficoltà	NG_MISSING_KEY		
ja	NG	game.- '&7Difficultas	NG_MISSING_KEY		
en	NG	game.- '&7Difficultas	NG_MISSING_KEY		
de	NG	game.- '&7Difficultas	NG_MISSING_KEY		
it	NG	game.- '&7Difficultas	NG_MISSING_KEY		
sv	NG	game.- '&7Difficultas	NG_MISSING_KEY		
es	NG	game.- '&7Difficultas	NG_MISSING_KEY		
fi	NG	game.- '&7Difficultas	NG_MISSING_KEY		
fr	NG	game.- '&7Difficultas	NG_MISSING_KEY		
hi	NG	game.- '&7Difficultas	NG_MISSING_KEY		
is	NG	game.- '&7Difficultas	NG_MISSING_KEY		
ko	NG	game.- '&7Difficultas	NG_MISSING_KEY		
la	NG	game.- '&7Difficultas	NG_PLACEHOLDER_MISMATCH en=[] lang=['{difficulty}']		&f{difficulty}'
lzh	NG	game.- '&7Difficultas	NG_MISSING_KEY		
nl	NG	game.- '&7Difficultas	NG_MISSING_KEY		
ojp	NG	game.- '&7Difficultas	NG_MISSING_KEY		
pt	NG	game.- '&7Difficultas	NG_MISSING_KEY		
ru	NG	game.- '&7Difficultas	NG_MISSING_KEY		
sa	NG	game.- '&7Difficultas	NG_MISSING_KEY		
zh_tw	NG	game.- '&7Difficultas	NG_MISSING_KEY		
asl_gloss	NG	game.- '&7Difficultas	NG_MISSING_KEY		
ja	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
de	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
it	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
sv	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
es	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
fi	NG	game.- '&7Difficulty	NG_MISSING_KEY	&f{difficulty}'	
